Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC Genotype x Time_235,HMDB0048455,TG 53:7,-0.0081136952993055,0.0937602897019037,0.931614884469961,,Interaction,-0.191883863115037,0.175656472516426
HC Genotype x Time_(joint),HMDB0048455,TG 53:7,,,,0.624090751618169,Interaction,,
HC Genotype x Time_120,HMDB0005447,TG 54:7,-0.157221414935671,0.0973227252529697,0.116679776938095,,Interaction,-0.347973956431492,0.0335311265601495
HC Genotype x Time_235,HMDB0005447,TG 54:7,-0.0991945032342492,0.0973227252529697,0.316242101289951,,Interaction,-0.28994704473007,0.0915580382615714
HC Genotype x Time_(joint),HMDB0005447,TG 54:7,,,,0.278424611726382,Interaction,,
HC Genotype x Time_120,HMDB0042063,TG 44:0,0.608248433577121,0.35075036058957,0.0931607099032789,,Interaction,-0.079222273178436,1.29571914033268
HC Genotype x Time_235,HMDB0042063,TG 44:0,0.576083819106245,0.35075036058957,0.110943033826187,,Interaction,-0.111386887649312,1.2635545258618
HC Genotype x Time_(joint),HMDB0042063,TG 44:0,,,,0.166483110465516,Interaction,,
HC Genotype x Time_120,HMDB0005448,TG 56:9,-0.0221263494409105,0.0507252390572634,0.665814710591769,,Interaction,-0.121547817993147,0.0772951191113257
HC Genotype x Time_235,HMDB0005448,TG 56:9,-0.0765970528608748,0.0507252390572634,0.141495505695193,,Interaction,-0.176018521413111,0.0228244156913615
HC Genotype x Time_(joint),HMDB0005448,TG 56:9,,,,0.31295297575419,Interaction,,
HC Genotype x Time_120,HMDB0043199,TG 47:2,0.331691916565693,0.180125929102133,0.0754638904081151,,Interaction,-0.021354904474488,0.684738737605873
HC Genotype x Time_235,HMDB0043199,TG 47:2,0.517200309065794,0.180125929102133,0.00742915417260716,,Interaction,0.164153488025613,0.870247130105974
HC Genotype x Time_(joint),HMDB0043199,TG 47:2,,,,0.0240431904836263,Interaction,,
HC Genotype x Time_120,HMDB0043518,TG 51:5,0.0454199038841629,0.0508540897070689,0.378890318730266,,Interaction,-0.0542541119416921,0.145093919710018
HC Genotype x Time_235,HMDB0043518,TG 51:5,0.111863229009766,0.0508540897070689,0.0356725991091544,,Interaction,0.0121892131839113,0.211537244835621
HC Genotype x Time_(joint),HMDB0043518,TG 51:5,,,,0.103575728001237,Interaction,,
HC Genotype x Time_120,HMDB0005435,TG 50:4,0.0230049826745216,0.0605239427840232,0.706551068446699,,Interaction,-0.0956219451821639,0.141631910531207
HC Genotype x Time_235,HMDB0005435,TG 50:4,0.103465075899856,0.0605239427840232,0.097686547385341,,Interaction,-0.0151618519568295,0.222092003756542
HC Genotype x Time_(joint),HMDB0005435,TG 50:4,,,,0.216414536370436,Interaction,,
HC Genotype x Time_120,HMDB0010367,CE 14:1,0.0141796911071977,0.0610205299284101,0.817824179928254,,Interaction,-0.105420547552486,0.133779929766882
HC Genotype x Time_235,HMDB0010367,CE 14:1,-0.00378688894126858,0.0610205299284101,0.950927268903005,,Interaction,-0.123387127600952,0.115813349718415
HC Genotype x Time_(joint),HMDB0010367,CE 14:1,,,,0.953035247728969,Interaction,,
HC Genotype x Time_120,HMDB0005478,TG 60:12,-0.0300135424333779,0.0955588321493006,0.755630685505684,,Interaction,-0.217308853446007,0.157281768579251
HC Genotype x Time_235,HMDB0005478,TG 60:12,-0.117146864328489,0.0955588321493006,0.229767782911351,,Interaction,-0.304442175341118,0.0701484466841404
HC Genotype x Time_(joint),HMDB0005478,TG 60:12,,,,0.453927321051368,Interaction,,
HC Genotype x Time_120,HMDB0060058,CE 16:2,-0.00100261880077862,0.0738739304552537,0.989261281183286,,Interaction,-0.145795522493076,0.143790284891519
HC Genotype x Time_235,HMDB0060058,CE 16:2,-0.0779374285415333,0.0738739304552537,0.299845439640428,,Interaction,-0.222730332233831,0.066855475150764
HC Genotype x Time_(joint),HMDB0060058,CE 16:2,,,,0.489058207978867,Interaction,,
HC Genotype x Time_120,HMDB0010412,TG 46:1,0.400283561380891,0.239922534399337,0.105644818203936,,Interaction,-0.06996460604181,0.870531728803593
HC Genotype x Time_235,HMDB0010412,TG 46:1,0.462632281914555,0.239922534399337,0.0633348009339154,,Interaction,-0.00761588550814607,0.932880449337257
HC Genotype x Time_(joint),HMDB0010412,TG 46:1,,,,0.129517693246305,Interaction,,
HC Genotype x Time_120,HMDB0042103,TG 49:3,0.141439485681821,0.108285817529757,0.201421948859409,,Interaction,-0.0708007166765024,0.353679688040145
HC Genotype x Time_235,HMDB0042103,TG 49:3,0.351681597434703,0.108285817529757,0.00286292435065527,,Interaction,0.139441395076379,0.563921799793027
HC Genotype x Time_(joint),HMDB0042103,TG 49:3,,,,0.0103692577120275,Interaction,,
HC Genotype x Time_120,HMDB0000982,5-Methylcytidine,-0.0161999231507277,0.0481722885883251,0.73821435162834,,Interaction,-0.110617608783845,0.0782177624823894
HC Genotype x Time_235,HMDB0000982,5-Methylcytidine,-0.0165816533861332,0.0481722885883251,0.732287549105932,,Interaction,-0.11099933901925,0.077836032246984
HC Genotype x Time_(joint),HMDB0000982,5-Methylcytidine,,,,0.925815017933536,Interaction,,
HC Genotype x Time_120,HMDB0005380,TG 52:5,-1.01233198309653e-05,0.0620129056384017,0.999870829754434,,Interaction,-0.121555418371098,0.121535171731436
HC Genotype x Time_235,HMDB0005380,TG 52:5,0.031781921398044,0.0620129056384018,0.612050634939031,,Interaction,-0.0897633736532234,0.153327216449311
HC Genotype x Time_(joint),HMDB0005380,TG 52:5,,,,0.840172123430846,Interaction,,
HC Genotype x Time_120,HMDB0006731,CE 20:5,0.00057842373957129,0.0442741391743082,0.989662754584132,,Interaction,-0.0861988890420727,0.0873557365212153
HC Genotype x Time_235,HMDB0006731,CE 20:5,-0.0426817877129763,0.0442741391743082,0.342735844779372,,Interaction,-0.12945910049462,0.0440955250686677
HC Genotype x Time_(joint),HMDB0006731,CE 20:5,,,,0.540483474103134,Interaction,,
HC Genotype x Time_120,HMDB0042093,TG 45:0,0.648679653165021,0.342861950775845,0.0681844222608073,,Interaction,-0.0233297703556347,1.32068907668568
HC Genotype x Time_235,HMDB0042093,TG 45:0,0.71557596340198,0.342861950775845,0.0454786855021656,,Interaction,0.0435665398813241,1.38758538692264
HC Genotype x Time_(joint),HMDB0042093,TG 45:0,,,,0.086560175197811,Interaction,,
HC Genotype x Time_120,HMDB0052415,TG 53:6,0.0100282480791543,0.0629109960422791,0.874419152218846,,Interaction,-0.113277304163713,0.133333800322021
HC Genotype x Time_235,HMDB0052415,TG 53:6,0.0946468338714548,0.0629109960422791,0.142920276386121,,Interaction,-0.0286587183714122,0.217952386114322
HC Genotype x Time_(joint),HMDB0052415,TG 53:6,,,,0.270542496147113,Interaction,,
HC Genotype x Time_120,HMDB0054031,TG 57:9,-0.141267517908208,0.188589646131908,0.45964639412852,,Interaction,-0.510903224326747,0.228368188510331
HC Genotype x Time_235,HMDB0054031,TG 57:9,-0.230224600632425,0.188589646131908,0.231681483983391,,Interaction,-0.599860307050964,0.139411105786114
HC Genotype x Time_(joint),HMDB0054031,TG 57:9,,,,0.477383951621551,Interaction,,
HC Genotype x Time_120,HMDB0005476,TG 58:10,-0.0244618651534305,0.0704930488062272,0.731005569785763,,Interaction,-0.162628240813636,0.113704510506775
HC Genotype x Time_235,HMDB0005476,TG 58:10,-0.0519510140819877,0.0704930488062272,0.466867564078297,,Interaction,-0.190117389742193,0.0862153615782176
HC Genotype x Time_(joint),HMDB0005476,TG 58:10,,,,0.763812596491534,Interaction,,
HC Genotype x Time_120,HMDB0005376,TG 48:2,0.204705752717643,0.122071335616426,0.103946512561446,,Interaction,-0.0345540650905515,0.443965570525838
HC Genotype x Time_235,HMDB0005376,TG 48:2,0.293799334528307,0.122071335616426,0.0224561203516078,,Interaction,0.0545395167201128,0.533059152336502
HC Genotype x Time_(joint),HMDB0005376,TG 48:2,,,,0.0624779433332671,Interaction,,
HC Genotype x Time_120,HMDB0052411,TG 51:4,0.0998360357805941,0.0551915824028246,0.0804991807802613,,Interaction,-0.00833946572894209,0.20801153729013
HC Genotype x Time_235,HMDB0052411,TG 51:4,0.126779248292131,0.0551915824028246,0.0287686237833437,,Interaction,0.0186037467825946,0.234954749801667
HC Genotype x Time_(joint),HMDB0052411,TG 51:4,,,,0.068869819018876,Interaction,,
HC Genotype x Time_120,HMDB0005391,TG 54:6,-0.117813255953313,0.0784265774604597,0.143496606672558,,Interaction,-0.271529347775814,0.0359028358691876
HC Genotype x Time_235,HMDB0005391,TG 54:6,-0.0746113131513515,0.0784265774604597,0.34902782000092,,Interaction,-0.228327404973852,0.0791047786711495
HC Genotype x Time_(joint),HMDB0005391,TG 54:6,,,,0.328657665745814,Interaction,,
HC Genotype x Time_120,HMDB0050279,TG 62:13,4.1174505875351e-05,0.152321437709407,0.999786110743667,,Interaction,-0.298508843404563,0.298591192416314
HC Genotype x Time_235,HMDB0050279,TG 62:13,0.0503470641123679,0.152321437709407,0.743295625596686,,Interaction,-0.24820295379807,0.348897082022806
HC Genotype x Time_(joint),HMDB0050279,TG 62:13,,,,0.92997399812186,Interaction,,
HC Genotype x Time_120,HMDB0005392,TG 56:8,0.0229170187239981,0.0351654185025217,0.519561721513664,,Interaction,-0.0460072015409444,0.0918412389889405
HC Genotype x Time_235,HMDB0005392,TG 56:8,-0.0781542373271465,0.0351654185025217,0.0339359271903588,,Interaction,-0.147078457592089,-0.00923001706220407
HC Genotype x Time_(joint),HMDB0005392,TG 56:8,,,,0.0189213957909714,Interaction,,
HC Genotype x Time_120,HMDB0042100,TG 47:1,0.86947399000996,0.419909115250072,0.0470945354016409,,Interaction,0.0464521241198179,1.6924958559001
HC Genotype x Time_235,HMDB0042100,TG 47:1,0.978128678903364,0.419909115250072,0.026760365143437,,Interaction,0.155106813013222,1.80115054479351
HC Genotype x Time_(joint),HMDB0042100,TG 47:1,,,,0.0523362463361884,Interaction,,
HC Genotype x Time_120,HMDB0006733,CE 22:6,0.00492431559551521,0.0503186495460125,0.922692303601496,,Interaction,-0.0937002375146693,0.1035488687057
HC Genotype x Time_235,HMDB0006733,CE 22:6,-0.0704744514832912,0.0503186495460125,0.171603464167106,,Interaction,-0.169099004593476,0.0281501016268933
HC Genotype x Time_(joint),HMDB0006733,CE 22:6,,,,0.260936880984991,Interaction,,
HC Genotype x Time_120,HMDB0010370,CE 18:3,-0.0157900192883178,0.0365785834925882,0.669065037673551,,Interaction,-0.0874840429337907,0.0559040043571552
HC Genotype x Time_235,HMDB0010370,CE 18:3,-0.0588825180885728,0.0365785834925882,0.117925467592548,,Interaction,-0.130576541734046,0.0128115055569001
HC Genotype x Time_(joint),HMDB0010370,CE 18:3,,,,0.265019488782094,Interaction,,
HC Genotype x Time_120,HMDB0005433,TG 50:3,0.0768733119057573,0.0570329353630096,0.18778914714437,,Interaction,-0.0349112414057416,0.188657865217256
HC Genotype x Time_235,HMDB0005433,TG 50:3,0.125433385839384,0.0570329353630096,0.0357018374067647,,Interaction,0.0136488325278856,0.237217939150883
HC Genotype x Time_(joint),HMDB0005433,TG 50:3,,,,0.102533668553427,Interaction,,
HC Genotype x Time_120,HMDB0049730,TG 53:5,0.00779952340411835,0.0628216914001618,0.902022003468621,,Interaction,-0.115330991740199,0.130930038548435
HC Genotype x Time_235,HMDB0049730,TG 53:5,0.0753351328908128,0.0628216914001618,0.239840457212121,,Interaction,-0.0477953822535043,0.19846564803513
HC Genotype x Time_(joint),HMDB0049730,TG 53:5,,,,0.429366391675193,Interaction,,
HC Genotype x Time_120,HMDB0050099,TG 60:11,-0.0360027951499879,0.0595330729500705,0.549890402816251,,Interaction,-0.152687618132126,0.0806820278321503
HC Genotype x Time_235,HMDB0050099,TG 60:11,-0.0712263344462981,0.0595330729500705,0.240904337943816,,Interaction,-0.187911157428436,0.0454584885358401
HC Genotype x Time_(joint),HMDB0050099,TG 60:11,,,,0.496991153294837,Interaction,,
HC Genotype x Time_120,HMDB0010411,TG 46:0,0.752945465596051,0.517930211016295,0.156395553912519,,Interaction,-0.262197747995887,1.76808867918799
HC Genotype x Time_235,HMDB0010411,TG 46:0,0.822233284359728,0.517930211016295,0.122876428387638,,Interaction,-0.19290992923221,1.83737649795167
HC Genotype x Time_(joint),HMDB0010411,TG 46:0,,,,0.228660487974701,Interaction,,
HC Genotype x Time_120,HMDB0049739,TG 55:7,0.0492188105408931,0.0700357765457973,0.48761909724376,,Interaction,-0.0880513114888698,0.186488932570656
HC Genotype x Time_235,HMDB0049739,TG 55:7,0.0632432636967642,0.0700357765457973,0.373712554149535,,Interaction,-0.0740268583329986,0.200513385726527
HC Genotype x Time_(joint),HMDB0049739,TG 55:7,,,,0.641983776403462,Interaction,,
HC Genotype x Time_120,HMDB0045449,TG 62:12,-0.261074004322542,0.328020306395263,0.43233856416845,,Interaction,-0.903993804857257,0.381845796212174
HC Genotype x Time_235,HMDB0045449,TG 62:12,-0.670586126694977,0.328020306395263,0.0497825534773693,,Interaction,-1.31350592722969,-0.0276663261602612
HC Genotype x Time_(joint),HMDB0045449,TG 62:12,,,,0.137203974241548,Interaction,,
HC Genotype x Time_120,HMDB0005463,TG 58:9,-0.00545882749027141,0.0608597118034825,0.929125546130421,,Interaction,-0.124743862625097,0.113826207644554
HC Genotype x Time_235,HMDB0005463,TG 58:9,-0.0274772548270044,0.0608597118034825,0.654887014146871,,Interaction,-0.14676228996183,0.0918077803078212
HC Genotype x Time_(joint),HMDB0005463,TG 58:9,,,,0.892413501907771,Interaction,,
HC Genotype x Time_120,HMDB0006725,CE 14:0,-0.015688047703245,0.0483760943517794,0.747966271750158,,Interaction,-0.110505192632733,0.0791290972262425
HC Genotype x Time_235,HMDB0006725,CE 14:0,-0.10497351360642,0.0483760943517794,0.0380593812715142,,Interaction,-0.199790658535908,-0.0101563686769328
HC Genotype x Time_(joint),HMDB0006725,CE 14:0,,,,0.0807294778390349,Interaction,,
HC Genotype x Time_120,HMDB0011706,TG 49:2,0.195826182057786,0.120083332686997,0.113398338905989,,Interaction,-0.0395371500087287,0.431189514124301
HC Genotype x Time_235,HMDB0011706,TG 49:2,0.346203354948188,0.120083332686997,0.00721724638053477,,Interaction,0.110840022881674,0.581566687014703
HC Genotype x Time_(joint),HMDB0011706,TG 49:2,,,,0.0250443629696481,Interaction,,
HC Genotype x Time_120,HMDB0005363,TG 52:4,0.0251439520160317,0.049100347897316,0.61233532663992,,Interaction,-0.0710927298627077,0.121380633894771
HC Genotype x Time_235,HMDB0005363,TG 52:4,0.0666089103276182,0.049100347897316,0.18503402146975,,Interaction,-0.0296277715511212,0.162845592206358
HC Genotype x Time_(joint),HMDB0005363,TG 52:4,,,,0.402369096251582,Interaction,,
HC Genotype x Time_120,HMDB0005462,TG 56:7_A,-0.0274430701653335,0.0583170287238054,0.641341291192128,,Interaction,-0.141744446463992,0.0868583061333251
HC Genotype x Time_235,HMDB0005462,TG 56:7_A,-0.0390682933112107,0.0583170287238054,0.508026985493815,,Interaction,-0.153369669609869,0.0752330829874479
HC Genotype x Time_(joint),HMDB0005462,TG 56:7_A,,,,0.79071563369683,Interaction,,
HC Genotype x Time_120,HMDB0006726,CE 20:4,-0.00425067366144951,0.0329151143043998,0.898108426866056,,Interaction,-0.0687642976980731,0.0602629503751741
HC Genotype x Time_235,HMDB0006726,CE 20:4,-0.0358135225197031,0.0329151143043998,0.285234224612956,,Interaction,-0.100327146556327,0.0287001015169205
HC Genotype x Time_(joint),HMDB0006726,CE 20:4,,,,0.501301835317821,Interaction,,
HC Genotype x Time_120,HMDB0054025,TG 57:8,0.206826200285589,0.366945829782566,0.577186932581513,,Interaction,-0.51238762608824,0.926040026659418
HC Genotype x Time_235,HMDB0054025,TG 57:8,-0.00372385157887032,0.366945829782566,0.991970207662894,,Interaction,-0.7229376779527,0.715489974794959
HC Genotype x Time_(joint),HMDB0054025,TG 57:8,,,,0.807234365333879,Interaction,,
HC Genotype x Time_120,HMDB0005359,TG 48:1,0.291765596897261,0.199480507029999,0.153967771410675,,Interaction,-0.0992161968815383,0.682747390676059
HC Genotype x Time_235,HMDB0005359,TG 48:1,0.410142512663605,0.199480507029999,0.0485686082439085,,Interaction,0.0191607188848058,0.801124306442403
HC Genotype x Time_(joint),HMDB0005359,TG 48:1,,,,0.124011734020934,Interaction,,
HC Genotype x Time_120,HMDB0011701,TG 51:3,0.0416184032514912,0.0695673306898101,0.554165728300007,,Interaction,-0.0947335649005367,0.177970371403519
HC Genotype x Time_235,HMDB0011701,TG 51:3,0.15036523428184,0.0695673306898101,0.0387681426326696,,Interaction,0.0140132661298117,0.286717202433867
HC Genotype x Time_(joint),HMDB0011701,TG 51:3,,,,0.0997970177556704,Interaction,,
HC Genotype x Time_120,HMDB0000658,CE 16:1,-0.0302498632913678,0.0332044040416133,0.36954748407822,,Interaction,-0.0953304952129298,0.0348307686301942
HC Genotype x Time_235,HMDB0000658,CE 16:1,-0.0617278687230357,0.0332044040416133,0.0728577256848996,,Interaction,-0.126808500644598,0.00335276319852634
HC Genotype x Time_(joint),HMDB0000658,CE 16:1,,,,0.194815606123905,Interaction,,
HC Genotype x Time_120,HMDB0005413,TG 58:8_A,-0.00358942928667849,0.0551832795850782,0.948569214507948,,Interaction,-0.111748657273432,0.104569798700075
HC Genotype x Time_235,HMDB0005413,TG 58:8_A,-0.0127031579046241,0.0551832795850782,0.819499340775311,,Interaction,-0.120862385891377,0.0954560700821291
HC Genotype x Time_(joint),HMDB0005413,TG 58:8_A,,,,0.972252488560166,Interaction,,
HC Genotype x Time_120,HMDB0005385,TG 54:5,-0.0602376722479843,0.0656615206691487,0.366251517561777,,Interaction,-0.188934252759516,0.0684589082635471
HC Genotype x Time_235,HMDB0005385,TG 54:5,-0.00308020888455382,0.0656615206691487,0.962895526093014,,Interaction,-0.131776789396085,0.125616371626978
HC Genotype x Time_(joint),HMDB0005385,TG 54:5,,,,0.591807265050972,Interaction,,
HC Genotype x Time_120,HMDB0010375,CE 22:5,-0.0186475513905613,0.0353130062963163,0.601339081236226,,Interaction,-0.0878610437313413,0.0505659409502188
HC Genotype x Time_235,HMDB0010375,CE 22:5,-0.0555299631098085,0.0353130062963164,0.126321427530892,,Interaction,-0.124743455450589,0.0136835292309716
HC Genotype x Time_(joint),HMDB0010375,CE 22:5,,,,0.292563707785315,Interaction,,
HC Genotype x Time_120,HMDB0044720,TG 55:6,-0.0397931661580625,0.0699336047731135,0.573582746983662,,Interaction,-0.176863031513365,0.0972766991972399
HC Genotype x Time_235,HMDB0044720,TG 55:6,0.0556892233421265,0.0699336047731135,0.432105321663412,,Interaction,-0.0813806420131759,0.192759088697429
HC Genotype x Time_(joint),HMDB0044720,TG 55:6,,,,0.40157728129045,Interaction,,
HC Genotype x Time_120,HMDB0042094,TG 47:0,0.613494819802192,0.423364453552655,0.157684709797238,,Interaction,-0.216299509161013,1.4432891487654
HC Genotype x Time_235,HMDB0042094,TG 47:0,0.867914576377951,0.423364453552655,0.0491885575620137,,Interaction,0.0381202474147466,1.69770890534116
HC Genotype x Time_(joint),HMDB0042094,TG 47:0,,,,0.126010775708812,Interaction,,
HC Genotype x Time_120,HMDB0005377,TG 50:2,0.0967274198505051,0.0755823127921616,0.210437363205226,,Interaction,-0.0514139132221316,0.244868752923142
HC Genotype x Time_235,HMDB0005377,TG 50:2,0.214302322070014,0.0755823127921616,0.00811805562477228,,Interaction,0.0661609889973774,0.362443655142651
HC Genotype x Time_(joint),HMDB0005377,TG 50:2,,,,0.0281193188725672,Interaction,,
HC Genotype x Time_120,HMDB0001895,Salicylic acid,0.138904912157675,0.135724527210573,0.31428558919784,,Interaction,-0.127115161175047,0.404924985490397
HC Genotype x Time_235,HMDB0001895,Salicylic acid,0.134916498719609,0.135724527210573,0.328150812210437,,Interaction,-0.131103574613113,0.400936572052331
HC Genotype x Time_(joint),HMDB0001895,Salicylic acid,,,,0.514844034128128,Interaction,,
HC Genotype x Time_120,HMDB0000610,CE 18:2,-0.0326222698896396,0.0230917824569222,0.168028569660744,,Interaction,-0.0778821635052071,0.012637623725928
HC Genotype x Time_235,HMDB0000610,CE 18:2,-0.0313193336697034,0.0230917824569222,0.185125085114096,,Interaction,-0.076579227285271,0.0139405599458641
HC Genotype x Time_(joint),HMDB0000610,CE 18:2,,,,0.29292166469537,Interaction,,
HC Genotype x Time_120,HMDB0044711,TG 53:4,0.0174470347667753,0.0547905005471807,0.75236378545839,,Interaction,-0.0899423463056989,0.124836415839249
HC Genotype x Time_235,HMDB0044711,TG 53:4,0.119146572516756,0.0547905005471807,0.0376780207277265,,Interaction,0.0117571914442815,0.22653595358923
HC Genotype x Time_(joint),HMDB0044711,TG 53:4,,,,0.079482645050997,Interaction,,
HC Genotype x Time_120,HMDB0011705,TG 49:1,0.308752666110826,0.182113492743536,0.100358708889679,,Interaction,-0.0481897796665053,0.665695111888157
HC Genotype x Time_235,HMDB0011705,TG 49:1,0.481616043011519,0.182113492743536,0.012886801717185,,Interaction,0.124673597234188,0.83855848878885
HC Genotype x Time_(joint),HMDB0011705,TG 49:1,,,,0.0400194975003702,Interaction,,
HC Genotype x Time_120,HMDB0005384,TG 52:3,0.0297380654253504,0.0398666469079789,0.461509969017267,,Interaction,-0.0484005625142882,0.107876693364989
HC Genotype x Time_235,HMDB0005384,TG 52:3,0.128712430784871,0.0398666469079789,0.00300832520944152,,Interaction,0.0505738028452327,0.20685105872451
HC Genotype x Time_(joint),HMDB0005384,TG 52:3,,,,0.00789299670874739,Interaction,,
HC Genotype x Time_120,HMDB0043782,TG 57:7,-0.661986632413249,0.379137680539315,0.0910398822216365,,Interaction,-1.40509648627031,0.0811232214438091
HC Genotype x Time_235,HMDB0043782,TG 57:7,-0.62961555688006,0.379137680539315,0.107201359489217,,Interaction,-1.37272541073712,0.113494296976997
HC Genotype x Time_(joint),HMDB0043782,TG 57:7,,,,0.161613531979247,Interaction,,
HC Genotype x Time_120,HMDB0006736,CE 20:3,-0.0230314151765719,0.0444207814214837,0.607924835509032,,Interaction,-0.11009614676268,0.0640333164095361
HC Genotype x Time_235,HMDB0006736,CE 20:3,-0.0260483606390563,0.0444207814214837,0.561993268844435,,Interaction,-0.113113092225164,0.0610163709470517
HC Genotype x Time_(joint),HMDB0006736,CE 20:3,,,,0.815161541291194,Interaction,,
HC Genotype x Time_120,HMDB0060060,CE 17:1,0.0336230233618566,0.089585358280612,0.710064381033555,,Interaction,-0.141964278868143,0.209210325591856
HC Genotype x Time_235,HMDB0060060,CE 17:1,-0.000199052822835897,0.089585358280612,0.998241863675889,,Interaction,-0.175786355052835,0.175388249407164
HC Genotype x Time_(joint),HMDB0060060,CE 17:1,,,,0.910126002127956,Interaction,,
HC Genotype x Time_120,HMDB0005356,TG 48:0,0.313225017410098,0.488949190653693,0.526640456580563,,Interaction,-0.64511539627114,1.27156543109134
HC Genotype x Time_235,HMDB0005356,TG 48:0,0.245455917905988,0.488949190653693,0.619327336757608,,Interaction,-0.71288449577525,1.20379633158723
HC Genotype x Time_(joint),HMDB0005356,TG 48:0,,,,0.79811965886528,Interaction,,
HC Genotype x Time_120,HMDB0005456,TG 56:6,0.0037058259668918,0.0318013457672714,0.908008743935356,,Interaction,-0.0586248117369601,0.0660364636707437
HC Genotype x Time_235,HMDB0005456,TG 56:6,0.0189443007194941,0.0318013457672714,0.555838605344915,,Interaction,-0.0433863369843577,0.081274938423346
HC Genotype x Time_(joint),HMDB0005456,TG 56:6,,,,0.820337543020083,Interaction,,
HC Genotype x Time_120,HMDB0004610,Phytosphingosine,-0.0694694546815071,0.0773041329937553,0.375994898239052,,Interaction,-0.220985555349268,0.0820466459862534
HC Genotype x Time_235,HMDB0004610,Phytosphingosine,-0.106479729263237,0.0773041329937553,0.178575027450768,,Interaction,-0.257995829930997,0.0450363714045237
HC Genotype x Time_(joint),HMDB0004610,Phytosphingosine,,,,0.387726330493346,Interaction,,
HC Genotype x Time_120,HMDB0000258,Dihexose,-0.659657032626028,0.453089969968956,0.155804521529348,,Interaction,-1.54771337376518,0.228399308513127
HC Genotype x Time_235,HMDB0000258,Dihexose,-0.537462375162791,0.453089969968956,0.244847082375722,,Interaction,-1.42551871630195,0.350593965976364
HC Genotype x Time_(joint),HMDB0000258,Dihexose,,,,0.315289641533694,Interaction,,
HC Genotype x Time_120,HMDB0011707,TG 51:2,0.0793702749882821,0.0722792618111727,0.280893800753254,,Interaction,-0.0622970781616164,0.221037628138181
HC Genotype x Time_235,HMDB0011707,TG 51:2,0.163107494321235,0.0722792618111727,0.0314745865226631,,Interaction,0.021440141171336,0.304774847471133
HC Genotype x Time_(joint),HMDB0011707,TG 51:2,,,,0.0951483895485312,Interaction,,
HC Genotype x Time_120,HMDB0005370,TG 54:4,0.0369516774330335,0.0387349312779021,0.3477265162257,,Interaction,-0.0389687878716547,0.112872142737722
HC Genotype x Time_235,HMDB0005370,TG 54:4,0.088078197762256,0.0387349312779021,0.0302942532212637,,Interaction,0.0121577324575678,0.163998663066944
HC Genotype x Time_(joint),HMDB0005370,TG 54:4,,,,0.0903401136398912,Interaction,,
HC Genotype x Time_120,HMDB0005471,TG 58:7_A,0.0299141549510522,0.123970040179754,0.810963140602215,,Interaction,-0.213067123801266,0.27289543370337
HC Genotype x Time_235,HMDB0005471,TG 58:7_A,-0.05514761047743,0.123970040179754,0.659623933073173,,Interaction,-0.298128889229748,0.187833668274888
HC Genotype x Time_(joint),HMDB0005471,TG 58:7_A,,,,0.786338254469842,Interaction,,
HC Genotype x Time_120,HMDB0240598,LPE P-18:0,-0.0811134776602301,0.0811474872641806,0.322858285403054,,Interaction,-0.240162552698024,0.0779355973775639
HC Genotype x Time_235,HMDB0240598,LPE P-18:0,-0.0533233282528243,0.0811474872641806,0.514453195393302,,Interaction,-0.212372403290618,0.10572574678497
HC Genotype x Time_(joint),HMDB0240598,LPE P-18:0,,,,0.600344150337287,Interaction,,
HC Genotype x Time_120,HMDB0044719,TG 55:5,-0.0284617227084382,0.0545506647254992,0.605676582467288,,Interaction,-0.135381025570417,0.0784575801535403
HC Genotype x Time_235,HMDB0044719,TG 55:5,0.0439798580253393,0.0545506647254992,0.426460867318523,,Interaction,-0.0629394448366392,0.150899160887318
HC Genotype x Time_(joint),HMDB0044719,TG 55:5,,,,0.419144123121292,Interaction,,
HC Genotype x Time_120,HMDB0011621,Cinnamoylglycine,-0.169148235596067,0.313653212537588,0.593670932469659,,Interaction,-0.783908532169739,0.445612060977606
HC Genotype x Time_235,HMDB0011621,Cinnamoylglycine,-0.407898124449211,0.313653212537588,0.203340315900085,,Interaction,-1.02265842102288,0.206862172124462
HC Genotype x Time_(joint),HMDB0011621,Cinnamoylglycine,,,,0.435871203439324,Interaction,,
HC Genotype x Time_120,HMDB0029006,Phe-Trp,0.0428833861932736,0.0708837143597284,0.549740000645602,,Interaction,-0.0960486939517941,0.181815466338341
HC Genotype x Time_235,HMDB0029006,Phe-Trp,0.0533378135762298,0.0708837143597284,0.45763293423526,,Interaction,-0.085594266568838,0.192269893721297
HC Genotype x Time_(joint),HMDB0029006,Phe-Trp,,,,0.730033437125099,Interaction,,
HC Genotype x Time_120,HMDB0000885,CE 16:0,-0.0135903525294654,0.0220074177495817,0.541541356783081,,Interaction,-0.0567248913186455,0.0295441862597148
HC Genotype x Time_235,HMDB0000885,CE 16:0,-0.0521487294656435,0.0220074177495817,0.0244384050449866,,Interaction,-0.0952832682548236,-0.00901419067646336
HC Genotype x Time_(joint),HMDB0000885,CE 16:0,,,,0.0637259014387201,Interaction,,
HC Genotype x Time_120,HMDB0005360,TG 50:1,0.186039673842124,0.109911886580981,0.100888795350308,,Interaction,-0.0293876238565991,0.401466971540847
HC Genotype x Time_235,HMDB0005360,TG 50:1,0.266530105731338,0.109911886580981,0.0215424302057781,,Interaction,0.0511028080326149,0.481957403430061
