genotype,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC genotype,Time_235,HMDB0001976,Docosapentaenoic acid (22n-6),-0.982680698228711,0.220142133983744,0.000162377993028548,,Main,-1.41415928083685,-0.551202115620573
HC genotype,Time_(joint),HMDB0001976,Docosapentaenoic acid (22n-6),,,,3.45388010065837e-06,Main,,
HC genotype,Time_120,HMDB0000826,Pentadecylic acid,-0.411600160654201,0.105999442091637,0.00132010965501523,,Main,-0.61935906715381,-0.203841254154593
HC genotype,Time_235,HMDB0000826,Pentadecylic acid,-0.224323952010623,0.105999442091637,0.0503488992639549,,Main,-0.432082858510232,-0.0165650455110144
HC genotype,Time_(joint),HMDB0000826,Pentadecylic acid,,,,0.00488411096738114,Main,,
HC genotype,Time_120,HMDB0012252,Linoleoyl-EA,0.0247020112572902,0.154889037306551,0.87528502128262,,Main,-0.278880501863551,0.328284524378131
HC genotype,Time_235,HMDB0012252,Linoleoyl-EA,0.045971420566239,0.154889037306551,0.770435799919462,,Main,-0.257611092554602,0.34955393368708
HC genotype,Time_(joint),HMDB0012252,Linoleoyl-EA,,,,0.95694783472419,Main,,
HC genotype,Time_120,HMDB0060038,10Z-Heptadecenoic acid,-1.563711489071,0.24677975663298,1.49854925333469e-06,,Main,-2.04739981207164,-1.08002316607036
HC genotype,Time_235,HMDB0060038,10Z-Heptadecenoic acid,-0.845337051869713,0.24677975663298,0.00221439891222221,,Main,-1.32902537487036,-0.361648728869072
HC genotype,Time_(joint),HMDB0060038,10Z-Heptadecenoic acid,,,,7.39515663022674e-06,Main,,
HC genotype,Time_120,HMDB0001008,Biliverdin,0.260079417844483,0.320622315836856,0.429174842020212,,Main,-0.368340321195754,0.888499156884721
HC genotype,Time_235,HMDB0001008,Biliverdin,0.155037824048688,0.320622315836856,0.635257010166555,,Main,-0.47338191499155,0.783457563088925
HC genotype,Time_(joint),HMDB0001008,Biliverdin,,,,0.721586725038305,Main,,
HC genotype,Time_120,HMDB0002925,Eicosatrienoic acid,-1.12072037431419,0.164374494634786,4.13072911020194e-06,,Main,-1.44289438379838,-0.798546364830013
HC genotype,Time_235,HMDB0002925,Eicosatrienoic acid,-0.684921809818051,0.164374494634786,0.000727239540379368,,Main,-1.00709581930223,-0.36274780033387
HC genotype,Time_(joint),HMDB0002925,Eicosatrienoic acid,,,,1.67634598422011e-05,Main,,
HC genotype,Time_120,HMDB0001898,Mesobilirubinogen,0.0966642010539857,0.0720097547285412,0.19821167880609,,Main,-0.0444749182139551,0.237803320321927
HC genotype,Time_235,HMDB0001898,Mesobilirubinogen,0.13620325260959,0.0720097547285412,0.0768082451540868,,Main,-0.00493586665835094,0.277342371877531
HC genotype,Time_(joint),HMDB0001898,Mesobilirubinogen,,,,0.182748531116965,Main,,
HC genotype,Time_120,HMDB0000220,Palmitic acid,-0.305215372108484,0.0595123003630693,0.000101063393739425,,Main,-0.4218594808201,-0.188571263396868
HC genotype,Time_235,HMDB0000220,Palmitic acid,-0.151430590269582,0.0595123003630693,0.0216413963693136,,Main,-0.268074698981198,-0.0347864815579663
HC genotype,Time_(joint),HMDB0000220,Palmitic acid,,,,0.000418772309087902,Main,,
HC genotype,Time_120,HMDB0002226,Adrenic acid,-1.27132533544938,0.196264692525626,7.62802696678062e-06,,Main,-1.65600413279961,-0.886646538099156
HC genotype,Time_235,HMDB0002226,Adrenic acid,-0.823157968063023,0.196264692525626,0.00068688733857158,,Main,-1.20783676541325,-0.438479170712796
HC genotype,Time_(joint),HMDB0002226,Adrenic acid,,,,2.85615585349441e-05,Main,,
HC genotype,Time_120,HMDB0011773,Cer 18:1;O2/14:0,-0.927952856754304,0.160267264164967,2.76262553203253e-05,,Main,-1.24207669451764,-0.613829018990968
HC genotype,Time_235,HMDB0011773,Cer 18:1;O2/14:0,-0.113146765885223,0.160267264164967,0.49034850037473,,Main,-0.427270603648559,0.200977071878113
HC genotype,Time_(joint),HMDB0011773,Cer 18:1;O2/14:0,,,,4.49592432333807e-05,Main,,
HC genotype,Time_120,HMDB0000207,Oleic acid,-0.767352032885671,0.126232115046847,2.80732724229941e-06,,Main,-1.01476697837749,-0.519937087393851
HC genotype,Time_235,HMDB0000207,Oleic acid,-0.408392214479369,0.126232115046847,0.00352610279971684,,Main,-0.65580715997119,-0.160977268987549
HC genotype,Time_(joint),HMDB0000207,Oleic acid,,,,1.37475746897813e-05,Main,,
HC genotype,Time_120,HMDB0062549,2-Hydroxystearic acid,-1.48919041364169,0.27234046986755,5.15761479413127e-05,,Main,-2.02297773458209,-0.955403092701292
HC genotype,Time_235,HMDB0062549,2-Hydroxystearic acid,-0.934023242657524,0.27234046986755,0.00343839357530833,,Main,-1.46781056359792,-0.400235921717126
HC genotype,Time_(joint),HMDB0062549,2-Hydroxystearic acid,,,,0.000194960021072139,Main,,
HC genotype,Time_120,HMDB0005060,Eicosadienoic acid,-2.38551088596436,0.388254642692942,1.4123721993223e-05,,Main,-3.14648998564253,-1.6245317862862
HC genotype,Time_235,HMDB0005060,Eicosadienoic acid,-1.06645975954525,0.388254642692942,0.0143278582817961,,Main,-1.82743885922342,-0.305480659867086
HC genotype,Time_(joint),HMDB0005060,Eicosadienoic acid,,,,6.03606917574779e-05,Main,,
HC genotype,Time_120,HMDB0002259,Margaric acid,-1.6200558934726,0.288469941265208,3.86495738219616e-05,,Main,-2.18545697835241,-1.0546548085928
HC genotype,Time_235,HMDB0002259,Margaric acid,-0.769802632649642,0.288469941265208,0.0168192830069731,,Main,-1.33520371752945,-0.204401547769835
HC genotype,Time_(joint),HMDB0002259,Margaric acid,,,,0.000163910659088375,Main,,
HC genotype,Time_120,HMDB0000827,Stearic acid,-0.15839892845512,0.028185951732043,3.83690953847246e-05,,Main,-0.213643393849924,-0.103154463060315
HC genotype,Time_235,HMDB0000827,Stearic acid,-0.10391050712102,0.028185951732043,0.00199809373785622,,Main,-0.159154972515825,-0.0486660417262161
HC genotype,Time_(joint),HMDB0000827,Stearic acid,,,,0.000137842695919521,Main,,
HC genotype,Time_120,HMDB0001476,3-Hydroxyanthranilic acid,0.0794708570692796,0.0776078812202292,0.321066773998576,,Main,-0.0726405901223697,0.231582304260929
HC genotype,Time_235,HMDB0001476,3-Hydroxyanthranilic acid,0.089152000005889,0.0776078812202292,0.267543707967974,,Main,-0.0629594471857603,0.241263447197538
HC genotype,Time_(joint),HMDB0001476,3-Hydroxyanthranilic acid,,,,0.46880777758324,Main,,
HC genotype,Time_120,HMDB0002231,Eicosenoic acid,-1.53225459023115,0.235789322088162,7.34420749660707e-06,,Main,-1.99440166152395,-1.07010751893836
HC genotype,Time_235,HMDB0002231,Eicosenoic acid,-0.862521430387044,0.235789322088162,0.00212247071892563,,Main,-1.32466850167984,-0.400374359094247
HC genotype,Time_(joint),HMDB0002231,Eicosenoic acid,,,,3.15181975557334e-05,Main,,
HC genotype,Time_120,HMDB0000801,Phytanic acid,-1.3948714616515,0.151762637656609,8.7643405018414e-08,,Main,-1.69232623145845,-1.09741669184454
HC genotype,Time_235,HMDB0000801,Phytanic acid,-1.11694124117769,0.151762637656609,1.60817397942812e-06,,Main,-1.41439601098465,-0.819486471370738
HC genotype,Time_(joint),HMDB0000801,Phytanic acid,,,,1.90932172535344e-07,Main,,
HC genotype,Time_120,HMDB0061710,Xi-17-Methyloctadecanoic acid,-1.05929571153812,0.161769259411759,6.70846855976416e-06,,Main,-1.37636345998517,-0.742227963091076
HC genotype,Time_235,HMDB0061710,Xi-17-Methyloctadecanoic acid,-0.719338915972955,0.161769259411759,0.0004059510893847,,Main,-1.03640666442,-0.402271167525907
HC genotype,Time_(joint),HMDB0061710,Xi-17-Methyloctadecanoic acid,,,,2.32679011025887e-05,Main,,
HC genotype,Time_120,HMDB0000772,Nonadecylic acid,-0.940877502708498,0.171764019492023,5.06136667157884e-05,,Main,-1.27753498091286,-0.604220024504133
HC genotype,Time_235,HMDB0000772,Nonadecylic acid,-0.513556298302935,0.171764019492023,0.00866010398582793,,Main,-0.8502137765073,-0.17689882009857
HC genotype,Time_(joint),HMDB0000772,Nonadecylic acid,,,,0.000210929652821096,Main,,
HC genotype,Time_120,HMDB0002212,Arachidic acid,-0.485469833791664,0.0953827906149281,0.000109260144810241,,Main,-0.672420103396923,-0.298519564186404
HC genotype,Time_235,HMDB0002212,Arachidic acid,-0.286148857380474,0.0953827906149281,0.00847940937673798,,Main,-0.473099126985733,-0.0991985877752147
HC genotype,Time_(joint),HMDB0002212,Arachidic acid,,,,0.000428550965245304,Main,,
HC genotype,Time_120,HMDB0002068,cis-Erucic acid,-0.830335336820627,0.1195065583381,3.28230372989242e-06,,Main,-1.0645681911633,-0.596102482477951
HC genotype,Time_235,HMDB0002068,cis-Erucic acid,-0.58496339807806,0.1195065583381,0.000161893331608705,,Main,-0.819196252420736,-0.350730543735384
HC genotype,Time_(joint),HMDB0002068,cis-Erucic acid,,,,1.06190625494036e-05,Main,,
HC genotype,Time_120,HMDB0002368,Nervonic acid,-0.790462812993763,0.0910388178778486,1.88666659989077e-07,,Main,-0.968898896034346,-0.612026729953179
HC genotype,Time_235,HMDB0002368,Nervonic acid,-0.50561187849064,0.0910388178778486,4.36224350940134e-05,,Main,-0.684047961531223,-0.327175795450056
HC genotype,Time_(joint),HMDB0002368,Nervonic acid,,,,7.44850759842235e-07,Main,,
HC genotype,Time_120,HMDB0094649,2-Aminoheptanoic acid,0.00930624312863099,0.0261506953867095,0.726586760681376,,Main,-0.0419491198293196,0.0605616060865816
HC genotype,Time_235,HMDB0094649,2-Aminoheptanoic acid,-0.0231074047975394,0.0261506953867095,0.389983219728024,,Main,-0.07436276775549,0.0281479581604112
HC genotype,Time_(joint),HMDB0094649,2-Aminoheptanoic acid,,,,0.460363852887703,Main,,
HC genotype,Time_120,HMDB0059655,2-Hydroxyglutaric acid,0.0202698558470726,0.0246641036541116,0.423248245331274,,Main,-0.0280717873149862,0.0686114990091314
HC genotype,Time_235,HMDB0059655,2-Hydroxyglutaric acid,-0.00905378984680441,0.0246641036541116,0.718366469357373,,Main,-0.0573954330088632,0.0392878533152544
HC genotype,Time_(joint),HMDB0059655,2-Hydroxyglutaric acid,,,,0.492196715944052,Main,,
HC genotype,Time_120,HMDB0000362,2-Phosphoglyceric acid,0.637913467597552,0.118885934620037,6.30775982851824e-05,,Main,0.40489703574228,0.870929899452823
HC genotype,Time_235,HMDB0000362,2-Phosphoglyceric acid,0.7711952550081,0.118885934620037,7.50047360975486e-06,,Main,0.538178823152829,1.00421168686337
HC genotype,Time_(joint),HMDB0000362,2-Phosphoglyceric acid,,,,1.50976866691253e-05,Main,,
HC genotype,Time_120,HMDB0000462,Allantoin,0.0106509436060552,0.0115403417406561,0.369752220547967,,Main,-0.0119681262056308,0.0332700134177412
HC genotype,Time_235,HMDB0000462,Allantoin,0.0214742319427062,0.0115403417406561,0.081251673220164,,Main,-0.00114483786897984,0.0440933017543922
HC genotype,Time_(joint),HMDB0000462,Allantoin,,,,0.208615212581919,Main,,
HC genotype,Time_120,HMDB0003073,gamma-Linolenic acid,-1.42062986363465,0.224409571627415,1.52028848336318e-06,,Main,-1.86047262402439,-0.980787103244917
HC genotype,Time_235,HMDB0003073,gamma-Linolenic acid,-0.793771110843128,0.224409571627415,0.00168042292255288,,Main,-1.23361387123286,-0.353928350453394
HC genotype,Time_(joint),HMDB0003073,gamma-Linolenic acid,,,,7.36635453400695e-06,Main,,
HC genotype,Time_120,HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid,-0.0530031471147337,0.0400989400827659,0.204819988965941,,Main,-0.131597069676955,0.0255907754474874
HC genotype,Time_235,HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid,-0.0738834193620905,0.0400989400827659,0.0840067909558168,,Main,-0.152477341924312,0.00471050320013068
HC genotype,Time_(joint),HMDB0000375,3-(3-Hydroxyphenyl)propanoic acid,,,,0.196493124555507,Main,,
HC genotype,Time_120,HMDB0001906,Aminoisobutyric acid,-1.42062986363465,0.224409571627415,1.52028848336318e-06,,Main,-1.86047262402439,-0.980787103244917
HC genotype,Time_235,HMDB0001906,Aminoisobutyric acid,-0.793771110843128,0.224409571627415,0.00168042292255288,,Main,-1.23361387123286,-0.353928350453394
HC genotype,Time_(joint),HMDB0001906,Aminoisobutyric acid,,,,7.36635453400695e-06,Main,,
HC genotype,Time_120,HMDB0013622,Nonadeca-10Z-enoic acid,-2.81284266938941,0.521059516525162,1.52124530777067e-05,,Main,-3.83411932177873,-1.79156601700009
HC genotype,Time_235,HMDB0013622,Nonadeca-10Z-enoic acid,-1.56106144065539,0.521059516525161,0.00626592268017205,,Main,-2.58233809304471,-0.539784788266074
HC genotype,Time_(joint),HMDB0013622,Nonadeca-10Z-enoic acid,,,,7.0112675786472e-05,Main,,
HC genotype,Time_120,HMDB0000807,3-Phosphoglyceric acid,0.0683686813159448,0.044113829342683,0.140735801287245,,Main,-0.0180944241957139,0.154831786827603
HC genotype,Time_235,HMDB0000807,3-Phosphoglyceric acid,-0.0224401949492663,0.044113829342683,0.617912926939179,,Main,-0.108903300460925,0.0640229105623924
HC genotype,Time_(joint),HMDB0000807,3-Phosphoglyceric acid,,,,0.132502853890871,Main,,
HC genotype,Time_120,HMDB0001539,Dimethylarginine,-2.81284266938941,0.521059516525162,1.52124530777067e-05,,Main,-3.83411932177873,-1.79156601700009
HC genotype,Time_235,HMDB0001539,Dimethylarginine,-1.56106144065539,0.521059516525161,0.00626592268017205,,Main,-2.58233809304471,-0.539784788266074
HC genotype,Time_(joint),HMDB0001539,Dimethylarginine,,,,7.0112675786472e-05,Main,,
HC genotype,Time_120,HMDB0000555,3-Methyladipic acid,-0.0708707399885569,0.0923863156504274,0.454185901439971,,Main,-0.251947918663395,0.110206438686281
HC genotype,Time_235,HMDB0000555,3-Methyladipic acid,-0.122528374423901,0.0923863156504274,0.203374883206297,,Main,-0.303605553098739,0.058548804250937
HC genotype,Time_(joint),HMDB0000555,3-Methyladipic acid,,,,0.431319101874352,Main,,
HC genotype,Time_120,HMDB0001991,7-Methylxanthine,0.331869760631255,0.0762620980465007,0.000494464719796973,,Main,0.182396048460113,0.481343472802396
HC genotype,Time_235,HMDB0001991,7-Methylxanthine,0.278202297047879,0.0762620980465007,0.00216796674820213,,Main,0.128728584876737,0.42767600921902
HC genotype,Time_(joint),HMDB0001991,7-Methylxanthine,,,,0.00102461365735808,Main,,
HC genotype,Time_120,HMDB0240212,DMGV,-0.0708707399885569,0.0923863156504274,0.454185901439971,,Main,-0.251947918663395,0.110206438686281
HC genotype,Time_235,HMDB0240212,DMGV,-0.122528374423901,0.0923863156504274,0.203374883206297,,Main,-0.303605553098739,0.058548804250937
HC genotype,Time_(joint),HMDB0240212,DMGV,,,,0.431319101874352,Main,,
HC genotype,Time_120,HMDB0011134,5-HETE,-1.11190250746364,0.200474891944485,4.42617450908364e-05,,Main,-1.50483329567483,-0.718971719252452
HC genotype,Time_235,HMDB0011134,5-HETE,-0.807849215573678,0.200474891944485,0.000969620836624089,,Main,-1.20078000378487,-0.414918427362489
HC genotype,Time_(joint),HMDB0011134,5-HETE,,,,0.000132079251201312,Main,,
HC genotype,Time_120,HMDB0000126,sn-Glycero-3-phosphate,0.0688709348171254,0.0415654960307237,0.117010013854286,,Main,-0.012597437403093,0.150339307037344
HC genotype,Time_235,HMDB0000126,sn-Glycero-3-phosphate,0.0365763938007399,0.0415654960307237,0.391901189746247,,Main,-0.0448919784194785,0.118044766020958
HC genotype,Time_(joint),HMDB0000126,sn-Glycero-3-phosphate,,,,0.281284721025057,Main,,
HC genotype,Time_120,HMDB0000112,gamma-Aminobutyric acid,-1.11190250746364,0.200474891944485,4.42617450908364e-05,,Main,-1.50483329567483,-0.718971719252452
HC genotype,Time_235,HMDB0000112,gamma-Aminobutyric acid,-0.807849215573678,0.200474891944485,0.000969620836624089,,Main,-1.20078000378487,-0.414918427362489
HC genotype,Time_(joint),HMDB0000112,gamma-Aminobutyric acid,,,,0.000132079251201312,Main,,
HC genotype,Time_120,HMDB0006111,12-HETE,-0.430575950603682,0.147514229228241,0.0100396421918215,,Main,-0.719703839891035,-0.14144806131633
HC genotype,Time_235,HMDB0006111,12-HETE,-0.185834528618104,0.147514229228241,0.225817500417223,,Main,-0.474962417905456,0.103293360669249
HC genotype,Time_(joint),HMDB0006111,12-HETE,,,,0.0323068331917917,Main,,
HC genotype,Time_120,HMDB0000613,Erythronic and or Threonic acid,0.106287178291686,0.039759220147465,0.0166585303795116,,Main,0.0283591068026545,0.184215249780717
HC genotype,Time_235,HMDB0000613,Erythronic and or Threonic acid,0.0436639131596726,0.039759220147465,0.288365599875512,,Main,-0.0342641583293587,0.121591984648704
HC genotype,Time_(joint),HMDB0000613,Erythronic and or Threonic acid,,,,0.0507851365846709,Main,,
HC genotype,Time_120,HMDB0000123,Glycine,-0.430575950603682,0.147514229228241,0.0100396421918215,,Main,-0.719703839891035,-0.14144806131633
HC genotype,Time_235,HMDB0000123,Glycine,-0.185834528618104,0.147514229228241,0.225817500417223,,Main,-0.474962417905456,0.103293360669249
HC genotype,Time_(joint),HMDB0000123,Glycine,,,,0.0323068331917917,Main,,
HC genotype,Time_120,HMDB0003876,15-HETE,-1.14675055584989,0.289785027767622,0.00112913414934524,,Main,-1.71472921027443,-0.578771901425351
HC genotype,Time_235,HMDB0003876,15-HETE,-0.676885327456363,0.289785027767622,0.0328436080931598,,Main,-1.2448639818809,-0.108906673031824
HC genotype,Time_(joint),HMDB0003876,15-HETE,,,,0.0040763955881554,Main,,
HC genotype,Time_120,HMDB0011509,LPE 18:3/0:0,0.293602334687536,0.107477663618279,0.0147778047836422,,Main,0.0829461139957087,0.504258555379363
HC genotype,Time_235,HMDB0011509,LPE 18:3/0:0,0.619234971224248,0.107477663618279,2.9180769726597e-05,,Main,0.40857875053242,0.829891191916075
HC genotype,Time_(joint),HMDB0011509,LPE 18:3/0:0,,,,0.000124592529011999,Main,,
HC genotype,Time_120,HMDB0000172,Isoleucine,-1.14675055584989,0.289785027767622,0.00112913414934524,,Main,-1.71472921027443,-0.578771901425351
HC genotype,Time_235,HMDB0000172,Isoleucine,-0.676885327456363,0.289785027767622,0.0328436080931598,,Main,-1.2448639818809,-0.108906673031824
HC genotype,Time_(joint),HMDB0000172,Isoleucine,,,,0.0040763955881554,Main,,
HC genotype,Time_120,HMDB0011519,LPE 20:5/0:0,0.198303539888325,0.11153649882522,0.0944241806499514,,Main,-0.0203079978091061,0.416915077585757
HC genotype,Time_235,HMDB0011519,LPE 20:5/0:0,0.304965306313077,0.11153649882522,0.0147031193288817,,Main,0.0863537686156458,0.523576844010509
HC genotype,Time_(joint),HMDB0011519,LPE 20:5/0:0,,,,0.0431349116134857,Main,,
HC genotype,Time_120,HMDB0000124,Hexose monophosphate,0.225768358743479,0.0483926712587038,0.000258590536435946,,Main,0.130918723076419,0.320617994410538
HC genotype,Time_235,HMDB0000124,Hexose monophosphate,0.112615221468942,0.0483926712587038,0.0334128675385192,,Main,0.0177655858018821,0.207464857136001
HC genotype,Time_(joint),HMDB0000124,Hexose monophosphate,,,,0.0010380109686546,Main,,
HC genotype,Time_120,HMDB0000687,Leucine,-0.414368457767062,0.154990604733987,0.0166505061553412,,Main,-0.718150043045676,-0.110586872488448
HC genotype,Time_235,HMDB0000687,Leucine,-0.202534262637139,0.154990604733987,0.209768336522947,,Main,-0.506315847915753,0.101247322641475
HC genotype,Time_(joint),HMDB0000687,Leucine,,,,0.0520866071741359,Main,,
HC genotype,Time_120,HMDB0005066,CAR 14:0,-0.72921201187055,0.128688742242013,3.50500388997842e-05,,Main,-0.981441946664896,-0.476982077076204
HC genotype,Time_235,HMDB0005066,CAR 14:0,-0.697960771210451,0.128688742242013,5.62825023130712e-05,,Main,-0.950190706004797,-0.445730836416105
HC genotype,Time_(joint),HMDB0005066,CAR 14:0,,,,3.82435854682667e-05,Main,,
HC genotype,Time_120,HMDB0007947,PC 35:3,0.0222507163365045,0.0275695243204856,0.431457044107692,,Main,-0.0317855513316473,0.0762869840046563
HC genotype,Time_235,HMDB0007947,PC 35:3,0.0461160631088946,0.0275695243204856,0.11381928631728,,Main,-0.0079202045592572,0.100152330777046
HC genotype,Time_(joint),HMDB0007947,PC 35:3,,,,0.275332540409284,Main,,
HC genotype,Time_120,HMDB0011757,N-Acetylvaline,-0.72921201187055,0.128688742242013,3.50500388997842e-05,,Main,-0.981441946664896,-0.476982077076204
HC genotype,Time_235,HMDB0011757,N-Acetylvaline,-0.697960771210451,0.128688742242013,5.62825023130712e-05,,Main,-0.950190706004797,-0.445730836416105
HC genotype,Time_(joint),HMDB0011757,N-Acetylvaline,,,,3.82435854682667e-05,Main,,
HC genotype,Time_120,HMDB0007944,PC 35:0,-0.00904225106530811,0.0312521476190489,0.776042704287498,,Main,-0.070296460398644,0.0522119582680278
HC genotype,Time_235,HMDB0007944,PC 35:0,0.0370804378536796,0.0312521476190489,0.252747628051666,,Main,-0.0241737714796564,0.0983346471870155
HC genotype,Time_(joint),HMDB0007944,PC 35:0,,,,0.320387046345028,Main,,
HC genotype,Time_120,HMDB0000211,Myo-inositol,0.281304577326277,0.0434208147500021,7.61468710883562e-06,,Main,0.196199780416273,0.366409374236281
HC genotype,Time_235,HMDB0000211,Myo-inositol,0.193197767031709,0.0434208147500021,0.000403660747032138,,Main,0.108092970121705,0.278302563941713
HC genotype,Time_(joint),HMDB0000211,Myo-inositol,,,,2.58303250781679e-05,Main,,
HC genotype,Time_120,HMDB0008105,PC 36:3,0.00414527109763854,0.0164666302587066,0.80444872448613,,Main,-0.0281293242094264,0.0364198664047035
HC genotype,Time_235,HMDB0008105,PC 36:3,0.0713650701034098,0.0164666302587066,0.000513099829091773,,Main,0.0390904747963448,0.103639665410475
HC genotype,Time_(joint),HMDB0008105,PC 36:3,,,,0.000699750992757033,Main,,
HC genotype,Time_120,HMDB0000202,Methylmalonic acid,0.0945741093486399,0.0549164620054354,0.104314455285593,,Main,-0.0130621561820135,0.202210374879293
HC genotype,Time_235,HMDB0000202,Methylmalonic acid,0.0904113243142569,0.0549164620054354,0.119190857202051,,Main,-0.0172249412163966,0.19804758984491
HC genotype,Time_(joint),HMDB0000202,Methylmalonic acid,,,,0.182703843681093,Main,,
HC genotype,Time_120,HMDB0000874,Taurohyodeoxycholic acid or Tauroursodeoxycholic acid,1.36852886733979,0.360243193292897,0.00157637740848467,,Main,0.662452208485715,2.07460552619387
HC genotype,Time_235,HMDB0000874,Taurohyodeoxycholic acid or Tauroursodeoxycholic acid,0.82163709395633,0.360243193292897,0.0366007302037351,,Main,0.115560435102252,1.52771375281041
HC genotype,Time_(joint),HMDB0000874,Taurohyodeoxycholic acid or Tauroursodeoxycholic acid,,,,0.0055499466716912,Main,,
HC genotype,Time_120,HMDB0008036,PC 36:0,0.0206157597133587,0.0391238343914162,0.605467466435044,,Main,-0.056066955693817,0.0972984751205344
HC genotype,Time_235,HMDB0008036,PC 36:0,0.0900755653347191,0.0391238343914162,0.03508512507989,,Main,0.0133928499275434,0.166758280741895
HC genotype,Time_(joint),HMDB0008036,PC 36:0,,,,0.0835771646799729,Main,,
HC genotype,Time_120,HMDB0000243,Pyruvic acid,-0.132516543630843,0.0924160458682472,0.1708515735687,,Main,-0.313651993532608,0.0486189062709211
HC genotype,Time_235,HMDB0000243,Pyruvic acid,-0.186169136399608,0.0924160458682472,0.0610874109099988,,Main,-0.367304586301372,-0.00503368649784311
HC genotype,Time_(joint),HMDB0000243,Pyruvic acid,,,,0.148885104190768,Main,,
HC genotype,Time_120,HMDB0000925,Trimethylamine N-oxide,1.36852886733979,0.360243193292897,0.00157637740848467,,Main,0.662452208485715,2.07460552619387
HC genotype,Time_235,HMDB0000925,Trimethylamine N-oxide,0.82163709395633,0.360243193292897,0.0366007302037351,,Main,0.115560435102252,1.52771375281041
HC genotype,Time_(joint),HMDB0000925,Trimethylamine N-oxide,,,,0.0055499466716912,Main,,
HC genotype,Time_120,HMDB0000951,Taurochenodeoxycholic acid,1.65698711881114,0.281272031990404,2.2775480704969e-05,,Main,1.10569393610995,2.20828030151233
HC genotype,Time_235,HMDB0000951,Taurochenodeoxycholic acid,1.31512590215284,0.281272031990404,0.000253185262318905,,Main,0.763832719451654,1.86641908485404
HC genotype,Time_(joint),HMDB0000951,Taurochenodeoxycholic acid,,,,5.36224756350982e-05,Main,,
HC genotype,Time_120,HMDB0008798,PC 42:4,0.0138115012934541,0.0354690326007353,0.702117143565475,,Main,-0.055707802603987,0.0833308051908953
HC genotype,Time_235,HMDB0008798,PC 42:4,0.0687004197470978,0.0354690326007353,0.0706190715313424,,Main,-0.000818884150343327,0.138219723644539
HC genotype,Time_(joint),HMDB0008798,PC 42:4,,,,0.155013834764001,Main,,
HC genotype,Time_120,HMDB0000929,Tryptophan,1.65698711881114,0.281272031990404,2.2775480704969e-05,,Main,1.10569393610995,2.20828030151233
HC genotype,Time_235,HMDB0000929,Tryptophan,1.31512590215284,0.281272031990404,0.000253185262318905,,Main,0.763832719451654,1.86641908485404
HC genotype,Time_(joint),HMDB0000929,Tryptophan,,,,5.36224756350982e-05,Main,,
HC genotype,Time_120,HMDB0000881,Xanthurenic acid,0.215509327343638,0.0516041277051944,0.000713123606225861,,Main,0.114365237041457,0.316653417645819
HC genotype,Time_235,HMDB0000881,Xanthurenic acid,0.166573524300153,0.0516041277051944,0.00525983821018765,,Main,0.0654294339979722,0.267717614602334
HC genotype,Time_(joint),HMDB0000881,Xanthurenic acid,,,,0.00183355963774999,Main,,
HC genotype,Time_120,HMDB0000158,Tyrosine,0.0991507734799371,0.0393680276189145,0.0228056904196502,,Main,0.0219894393468645,0.17631210761301
HC genotype,Time_235,HMDB0000158,Tyrosine,0.124665298135694,0.0393680276189145,0.00598227043467499,,Main,0.0475039640026216,0.201826632268767
HC genotype,Time_(joint),HMDB0000158,Tyrosine,,,,0.0143608415059863,Main,,
HC genotype,Time_120,HMDB0000774,Pregnenolone sulfate,0.0493254075869645,0.0793192252908243,0.542794600622849,,Main,-0.106140273983051,0.20479108915698
HC genotype,Time_235,HMDB0000774,Pregnenolone sulfate,0.0185900016359315,0.0793192252908243,0.8176709437535,,Main,-0.136875679934084,0.174055683205947
HC genotype,Time_(joint),HMDB0000774,Pregnenolone sulfate,,,,0.822942085117032,Main,,
HC genotype,Time_120,HMDB0013415,PC P-36:4 or PC O-36:5_A,-0.0332943466323715,0.0344600857743769,0.348336348560646,,Main,-0.10083611475015,0.0342474214854072
HC genotype,Time_235,HMDB0013415,PC P-36:4 or PC O-36:5_A,-0.0206821598480272,0.0344600857743769,0.556793967428048,,Main,-0.0882239279658059,0.0468596082697516
HC genotype,Time_(joint),HMDB0013415,PC P-36:4 or PC O-36:5_A,,,,0.629854070029004,Main,,
HC genotype,Time_120,HMDB0000883,Valine,0.0493254075869645,0.0793192252908243,0.542794600622849,,Main,-0.106140273983051,0.20479108915698
HC genotype,Time_235,HMDB0000883,Valine,0.0185900016359315,0.0793192252908243,0.8176709437535,,Main,-0.136875679934084,0.174055683205947
HC genotype,Time_(joint),HMDB0000883,Valine,,,,0.822942085117032,Main,,
HC genotype,Time_120,HMDB0000766,N-Acetylalanine,0.0922116587353893,0.0921585248269652,0.331924543607384,,Main,-0.0884190499254625,0.272842367396241
HC genotype,Time_235,HMDB0000766,N-Acetylalanine,0.0418522986934514,0.0921585248269652,0.655832400595092,,Main,-0.1387784099674,0.222483007354303
HC genotype,Time_(joint),HMDB0000766,N-Acetylalanine,,,,0.614543130901674,Main,,
HC genotype,Time_120,HMDB0013440,PC O-38:3,-0.0274969978754812,0.0292665924320646,0.361424514894985,,Main,-0.0848595190423278,0.0298655232913653
