Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome,model
Genotype_HC Genotype_ x time235,-0.0779765777126587,0.0555691546607266,0.170812866387563,,,Interaction,-0.186892120847683,0.0309389654223656,HMDB0072856,"-0.1 (-0.2, 0)",0.171,0.171,,MG 17:0,bmi
Genotype_(joint),,,,1.32036763915857,0.280146463558281,Main,,,HMDB0072856,"NA (NA, NA)",,,0.28,MG 17:0,bmi
Genotype_ x time(joint),,,,1.2216770748021,0.308981596926011,Interaction,,,HMDB0072856,"NA (NA, NA)",,,0.309,MG 17:0,bmi
Genotype_HC Genotype_,0.0988897224994699,0.0523520129172499,0.0716377584308527,,,Main,-0.00372022281833989,0.20149966781728,HMDB0072856,"0.1 (0, 0.2)",0.072,0.072,,MG 17:0,primary
Genotype_HC Genotype_ x time120,-0.072130734012234,0.0555691526748568,0.204166532357432,,,Interaction,-0.181046273254953,0.0367848052304853,HMDB0072856,"-0.1 (-0.2, 0)",0.204,0.204,,MG 17:0,primary
Genotype_HC Genotype_ x time235,-0.0779765777126721,0.0555691526748568,0.170812850419196,,,Interaction,-0.186892116955391,0.0309389615300472,HMDB0072856,"-0.1 (-0.2, 0)",0.171,0.171,,MG 17:0,primary
Genotype_(joint),,,,1.39457579378172,0.264958881458175,Main,,,HMDB0072856,"NA (NA, NA)",,,0.265,MG 17:0,primary
Genotype_ x time(joint),,,,1.22167716212051,0.30898157040777,Interaction,,,HMDB0072856,"NA (NA, NA)",,,0.309,MG 17:0,primary
Genotype_HC Genotype_,0.0904364350318208,0.0527446457942666,0.101917380578375,,,Main,-0.0129430707249417,0.193815940788583,HMDB0011131,"0.1 (0, 0.2)",0.102,0.102,,MG 18:0,bmi
Genotype_HC Genotype_ x time120,-0.0864680861908446,0.0546113431593245,0.123831559954402,,,Interaction,-0.193506318783121,0.0205701464014314,HMDB0011131,"-0.1 (-0.2, 0)",0.124,0.124,,MG 18:0,bmi
Genotype_HC Genotype_ x time235,-0.0750779856843467,0.0546113431593245,0.179385175590915,,,Interaction,-0.182116218276623,0.0319602469079294,HMDB0011131,"-0.1 (-0.2, 0)",0.179,0.179,,MG 18:0,bmi
Genotype_(joint),,,,0.748749844041109,0.409344490200927,Main,,,HMDB0011131,"NA (NA, NA)",,,0.409,MG 18:0,bmi
Genotype_ x time(joint),,,,1.48014726111063,0.243754456557029,Interaction,,,HMDB0011131,"NA (NA, NA)",,,0.244,MG 18:0,bmi
Genotype_HC Genotype_,0.0900367137224163,0.0521505728146732,0.0980503086078324,,,Main,-0.0121784089943432,0.192251836439176,HMDB0011131,"0.1 (0, 0.2)",0.098,0.098,,MG 18:0,primary
Genotype_HC Genotype_ x time120,-0.0864680861908143,0.054611343188226,0.123831560190712,,,Interaction,-0.193506318839737,0.0205701464581087,HMDB0011131,"-0.1 (-0.2, 0)",0.124,0.124,,MG 18:0,primary
Genotype_HC Genotype_ x time235,-0.0750779856843163,0.054611343188226,0.179385175858413,,,Interaction,-0.182116218333239,0.0319602469646066,HMDB0011131,"-0.1 (-0.2, 0)",0.179,0.179,,MG 18:0,primary
Genotype_(joint),,,,0.758931314146889,0.404092450978862,Main,,,HMDB0011131,"NA (NA, NA)",,,0.404,MG 18:0,primary
Genotype_ x time(joint),,,,1.48014725954288,0.243754456972638,Interaction,,,HMDB0011131,"NA (NA, NA)",,,0.244,MG 18:0,primary
Genotype_HC Genotype_,-0.0308818734384757,0.0777150257263242,0.696703990682357,,,Main,-0.183203323862071,0.12143957698512,HMDB0011567,"0 (-0.2, 0.1)",0.697,0.697,,MG 18:1,bmi
Genotype_HC Genotype_ x time120,-0.0548409826248799,0.0652746464717688,0.407466281148075,,,Interaction,-0.182779289709547,0.0730973244597869,HMDB0011567,"-0.1 (-0.2, 0.1)",0.407,0.407,,MG 18:1,bmi
Genotype_HC Genotype_ x time235,-0.0366865013684813,0.0652746464717687,0.578269044356356,,,Interaction,-0.164624808453148,0.0912518057161854,HMDB0011567,"0 (-0.2, 0.1)",0.578,0.578,,MG 18:1,bmi
Genotype_(joint),,,,0.815882366824439,0.389922416858861,Main,,,HMDB0011567,"NA (NA, NA)",,,0.39,MG 18:1,bmi
Genotype_ x time(joint),,,,0.366366293489242,0.696307647037641,Interaction,,,HMDB0011567,"NA (NA, NA)",,,0.696,MG 18:1,bmi
Genotype_HC Genotype_,-0.0321226016342141,0.0818621220023245,0.700031819919185,,,Main,-0.19257236075877,0.128327157490342,HMDB0011567,"0 (-0.2, 0.1)",0.7,0.7,,MG 18:1,primary
Genotype_HC Genotype_ x time120,-0.0548409826249078,0.0652746463874155,0.407466280536613,,,Interaction,-0.182779289544242,0.0730973242944267,HMDB0011567,"-0.1 (-0.2, 0.1)",0.407,0.407,,MG 18:1,primary
Genotype_HC Genotype_ x time235,-0.0366865013685123,0.0652746463874155,0.578269043859281,,,Interaction,-0.164624808287847,0.091251805550822,HMDB0011567,"0 (-0.2, 0.1)",0.578,0.578,,MG 18:1,primary
Genotype_(joint),,,,0.742781294029459,0.40896256818489,Main,,,HMDB0011567,"NA (NA, NA)",,,0.409,MG 18:1,primary
Genotype_ x time(joint),,,,0.366366294436547,0.696307646388092,Interaction,,,HMDB0011567,"NA (NA, NA)",,,0.696,MG 18:1,primary
Genotype_HC Genotype_,-0.496474979748776,0.244390322374629,0.0643901428715215,,,Main,-0.975480011603049,-0.0174699478945022,HMDB0011568,"-0.5 (-1, 0)",0.064,0.064,,MG 18:2,bmi
Genotype_HC Genotype_ x time120,0.0016962619473768,0.163109456988037,0.991771374471217,,,Interaction,-0.317998273749176,0.321390797643929,HMDB0011568,"0 (-0.3, 0.3)",0.992,0.992,,MG 18:2,bmi
Genotype_HC Genotype_ x time235,0.0822042971635977,0.163109456988037,0.617955047325462,,,Interaction,-0.237490238532955,0.40189883286015,HMDB0011568,"0.1 (-0.2, 0.4)",0.618,0.618,,MG 18:2,bmi
Genotype_(joint),,,,4.3159021119862,0.0675410303028845,Main,,,HMDB0011568,"NA (NA, NA)",,,0.068,MG 18:2,bmi
Genotype_ x time(joint),,,,0.165910158984747,0.847894272406313,Interaction,,,HMDB0011568,"NA (NA, NA)",,,0.848,MG 18:2,bmi
Genotype_HC Genotype_,-0.500158255178613,0.254052496173041,0.0701419267182519,,,Main,-0.998101147677773,-0.0022153626794541,HMDB0011568,"-0.5 (-1, 0)",0.07,0.07,,MG 18:2,primary
Genotype_HC Genotype_ x time120,0.00169626194737685,0.163109456981254,0.991771374470876,,,Interaction,-0.317998273735881,0.321390797630635,HMDB0011568,"0 (-0.3, 0.3)",0.992,0.992,,MG 18:2,primary
Genotype_HC Genotype_ x time235,0.0822042971635969,0.163109456981254,0.617955047310877,,,Interaction,-0.237490238519661,0.401898832846855,HMDB0011568,"0.1 (-0.2, 0.4)",0.618,0.618,,MG 18:2,primary
Genotype_(joint),,,,4.00479513154668,0.0732416160021562,Main,,,HMDB0011568,"NA (NA, NA)",,,0.073,MG 18:2,primary
Genotype_ x time(joint),,,,0.165910158998542,0.847894272394759,Interaction,,,HMDB0011568,"NA (NA, NA)",,,0.848,MG 18:2,primary
Genotype_HC Genotype_,0.0958572769968544,0.0478734944463049,0.0592959895337594,,,Main,0.00202522788209675,0.189689326111612,HMDB0072839,"0.1 (0, 0.2)",0.059,0.059,,MG 19:0,bmi
Genotype_HC Genotype_ x time120,-0.0681803177075554,0.0490343032480849,0.174618770618685,,,Interaction,-0.164287552073802,0.0279269166586911,HMDB0072839,"-0.1 (-0.2, 0)",0.175,0.175,,MG 19:0,bmi
Genotype_HC Genotype_ x time235,-0.070040099973408,0.0490343032480849,0.163508888320923,,,Interaction,-0.166147334339654,0.0260671343928385,HMDB0072839,"-0.1 (-0.2, 0)",0.164,0.164,,MG 19:0,bmi
Genotype_(joint),,,,1.66290867363521,0.229362528039649,Main,,,HMDB0072839,"NA (NA, NA)",,,0.229,MG 19:0,bmi
Genotype_ x time(joint),,,,1.32503987325709,0.280902190185777,Interaction,,,HMDB0072839,"NA (NA, NA)",,,0.281,MG 19:0,bmi
Genotype_HC Genotype_,0.0958069008628527,0.0463087412896322,0.0500851718034803,,,Main,0.00504176793517359,0.186572033790532,HMDB0072839,"0.1 (0, 0.2)",0.05,0.05,,MG 19:0,primary
Genotype_HC Genotype_ x time120,-0.0681803177075471,0.0490343033483718,0.17461877155995,,,Interaction,-0.164287552270356,0.0279269168552616,HMDB0072839,"-0.1 (-0.2, 0)",0.175,0.175,,MG 19:0,primary
Genotype_HC Genotype_ x time235,-0.0700400999734015,0.0490343033483718,0.163508889242345,,,Interaction,-0.16614733453621,0.0260671345894072,HMDB0072839,"-0.1 (-0.2, 0)",0.164,0.164,,MG 19:0,primary
Genotype_(joint),,,,1.84164636861471,0.204597107134335,Main,,,HMDB0072839,"NA (NA, NA)",,,0.205,MG 19:0,primary
Genotype_ x time(joint),,,,1.32503986783677,0.280902191710053,Interaction,,,HMDB0072839,"NA (NA, NA)",,,0.281,MG 19:0,primary
Genotype_HC Genotype_,0.0631322535653552,0.0519257803251446,0.241921095500357,,,Main,-0.0386422758719283,0.164906783002639,HMDB0011572,"0.1 (0, 0.2)",0.242,0.242,,MG 20:0,bmi
Genotype_HC Genotype_ x time120,-0.0355001751765639,0.0457167615902345,0.443519204516052,,,Interaction,-0.125105027893423,0.0541046775402958,HMDB0011572,"0 (-0.1, 0.1)",0.444,0.444,,MG 20:0,bmi
Genotype_HC Genotype_ x time235,-0.0271431808801671,0.0457167615902345,0.557146752452169,,,Interaction,-0.116748033597027,0.0624616718366925,HMDB0011572,"0 (-0.1, 0.1)",0.557,0.557,,MG 20:0,bmi
Genotype_(joint),,,,0.892752228997741,0.369405897991894,Main,,,HMDB0011572,"NA (NA, NA)",,,0.369,MG 20:0,bmi
Genotype_ x time(joint),,,,0.329638280115371,0.72175578935415,Interaction,,,HMDB0011572,"NA (NA, NA)",,,0.722,MG 20:0,bmi
Genotype_HC Genotype_,0.0629824673015508,0.0501244951780462,0.224773313069213,,,Main,-0.0352615432474198,0.161226477850521,HMDB0011572,"0.1 (0, 0.2)",0.225,0.225,,MG 20:0,primary
Genotype_HC Genotype_ x time120,-0.0355001751765613,0.0457167607421604,0.443519195932046,,,Interaction,-0.125105026231196,0.0541046758780731,HMDB0011572,"0 (-0.1, 0.1)",0.444,0.444,,MG 20:0,primary
Genotype_HC Genotype_ x time235,-0.0271431808801572,0.0457167607421604,0.55714674502598,,,Interaction,-0.116748031934792,0.0624616701744773,HMDB0011572,"0 (-0.1, 0.1)",0.557,0.557,,MG 20:0,primary
Genotype_(joint),,,,0.976171698111264,0.346448482711931,Main,,,HMDB0011572,"NA (NA, NA)",,,0.346,MG 20:0,primary
Genotype_ x time(joint),,,,0.329638292345262,0.721755780628105,Interaction,,,HMDB0011572,"NA (NA, NA)",,,0.722,MG 20:0,primary
Genotype_HC Genotype_,-0.143337304438188,0.116156433200261,0.234563104292809,,,Main,-0.3710039135107,0.0843293046343235,HMDB0011581,"-0.1 (-0.4, 0.1)",0.235,0.235,,MG 22:0,bmi
Genotype_HC Genotype_ x time120,-0.0970167005886425,0.10558306208055,0.365494879196442,,,Interaction,-0.30395950226652,0.109926101089235,HMDB0011581,"-0.1 (-0.3, 0.1)",0.365,0.365,,MG 22:0,bmi
Genotype_HC Genotype_ x time235,0.0453989325422888,0.10558306208055,0.670280913268378,,,Interaction,-0.161543869135589,0.252341734220167,HMDB0011581,"0 (-0.2, 0.3)",0.67,0.67,,MG 22:0,bmi
Genotype_(joint),,,,2.63636465473298,0.138889785376269,Main,,,HMDB0011581,"NA (NA, NA)",,,0.139,MG 22:0,bmi
Genotype_ x time(joint),,,,0.949531574544081,0.398244599423588,Interaction,,,HMDB0011581,"NA (NA, NA)",,,0.398,MG 22:0,bmi
Genotype_HC Genotype_,-0.141853492846754,0.118833732013415,0.248373518524818,,,Main,-0.374767607593048,0.0910606218995398,HMDB0011581,"-0.1 (-0.4, 0.1)",0.248,0.248,,MG 22:0,primary
Genotype_HC Genotype_ x time120,-0.0970167005886277,0.105583064298929,0.365494889416935,,,Interaction,-0.303959506614529,0.109926105437274,HMDB0011581,"-0.1 (-0.3, 0.1)",0.365,0.365,,MG 22:0,primary
Genotype_HC Genotype_ x time235,0.0453989325422999,0.105583064298929,0.670280919886964,,,Interaction,-0.161543873483601,0.252341738568201,HMDB0011581,"0 (-0.2, 0.3)",0.67,0.67,,MG 22:0,primary
Genotype_(joint),,,,2.43139002835292,0.149986932671671,Main,,,HMDB0011581,"NA (NA, NA)",,,0.15,MG 22:0,primary
Genotype_ x time(joint),,,,0.949531534643255,0.398244614799925,Interaction,,,HMDB0011581,"NA (NA, NA)",,,0.398,MG 22:0,primary
Genotype_HC Genotype_,-0.0848485596545412,0.0924710354262095,0.375077183929645,,,Main,-0.266091789089912,0.0963946697808295,HMDB0011588,"-0.1 (-0.3, 0.1)",0.375,0.375,,MG 24:0,bmi
Genotype_HC Genotype_ x time120,0.0345663388710354,0.0691732752494404,0.620927188696767,,,Interaction,-0.101013280617868,0.170145958359939,HMDB0011588,"0 (-0.1, 0.2)",0.621,0.621,,MG 24:0,bmi
Genotype_HC Genotype_ x time235,0.0654179152855444,0.0691732752494405,0.35185145151101,,,Interaction,-0.0701617042033589,0.200997534774448,HMDB0011588,"0.1 (-0.1, 0.2)",0.352,0.352,,MG 24:0,bmi
Genotype_(joint),,,,0.38159766636404,0.55205745864169,Main,,,HMDB0011588,"NA (NA, NA)",,,0.552,MG 24:0,bmi
Genotype_ x time(joint),,,,0.447665139151345,0.643318716052183,Interaction,,,HMDB0011588,"NA (NA, NA)",,,0.643,MG 24:0,bmi
Genotype_HC Genotype_,-0.083804185288281,0.0930109508471221,0.382028222835415,,,Main,-0.26610564894864,0.0984972783720784,HMDB0011588,"-0.1 (-0.3, 0.1)",0.382,0.382,,MG 24:0,primary
Genotype_HC Genotype_ x time120,0.0345663388710377,0.0691732755258496,0.620927190106192,,,Interaction,-0.101013281159628,0.170145958901703,HMDB0011588,"0 (-0.1, 0.2)",0.621,0.621,,MG 24:0,primary
Genotype_HC Genotype_ x time235,0.0654179152855444,0.0691732755258496,0.35185145344791,,,Interaction,-0.0701617047451209,0.20099753531621,HMDB0011588,"0.1 (-0.1, 0.2)",0.352,0.352,,MG 24:0,primary
Genotype_(joint),,,,0.361085138577473,0.561276454908406,Main,,,HMDB0011588,"NA (NA, NA)",,,0.561,MG 24:0,primary
Genotype_ x time(joint),,,,0.4476651355737,0.643318718309617,Interaction,,,HMDB0011588,"NA (NA, NA)",,,0.643,MG 24:0,primary
Genotype_HC Genotype_,0.112241960425099,0.216039544244896,0.613269942264714,,,Main,-0.311195546294898,0.535679467145096,HMDB0000703,"0.1 (-0.3, 0.5)",0.613,0.613,,Mandelic acid,bmi
Genotype_HC Genotype_ x time120,-0.213865614710941,0.127465892346976,0.103770876522326,,,Interaction,-0.463698763711015,0.0359675342891329,HMDB0000703,"-0.2 (-0.5, 0)",0.104,0.104,,Mandelic acid,bmi
Genotype_HC Genotype_ x time235,-0.1573987069306,0.127465892346976,0.226478283517179,,,Interaction,-0.407231855930674,0.0924344420694737,HMDB0000703,"-0.2 (-0.4, 0.1)",0.226,0.226,,Mandelic acid,bmi
Genotype_(joint),,,,0.00321263879455444,0.956038403532316,Main,,,HMDB0000703,"NA (NA, NA)",,,0.956,Mandelic acid,bmi
Genotype_ x time(joint),,,,1.51205051297067,0.236784765976839,Interaction,,,HMDB0000703,"NA (NA, NA)",,,0.237,Mandelic acid,bmi
Genotype_HC Genotype_,0.113076299155181,0.207486581835606,0.594996035119747,,,Main,-0.293597401242607,0.519749999552969,HMDB0000703,"0.1 (-0.3, 0.5)",0.595,0.595,,Mandelic acid,primary
Genotype_HC Genotype_ x time120,-0.213865614710959,0.127465892344033,0.103770876513589,,,Interaction,-0.463698763705265,0.0359675342833466,HMDB0000703,"-0.2 (-0.5, 0)",0.104,0.104,,Mandelic acid,primary
Genotype_HC Genotype_ x time235,-0.157398706930624,0.127465892344033,0.226478283504768,,,Interaction,-0.40723185592493,0.0924344420636812,HMDB0000703,"-0.2 (-0.4, 0.1)",0.226,0.226,,Mandelic acid,primary
Genotype_(joint),,,,0.00302989430086615,0.957187246922132,Main,,,HMDB0000703,"NA (NA, NA)",,,0.957,Mandelic acid,primary
Genotype_ x time(joint),,,,1.51205051304079,0.236784765959442,Interaction,,,HMDB0000703,"NA (NA, NA)",,,0.237,Mandelic acid,primary
Genotype_HC Genotype_,-0.932912253306076,0.301160197130028,0.00486915088287888,,,Main,-1.52318623968093,-0.34263826693122,HMDB0002259,"-0.9 (-1.5, -0.3)",4.9e-03,4.9e-03**,,Margaric acid,bmi
Genotype_HC Genotype_ x time120,0.963960733280034,0.346608625555587,0.00927082114703162,,,Interaction,0.284607827191083,1.64331363936899,HMDB0002259,"1 (0.3, 1.6)",9.3e-03,9.3e-03**,,Margaric acid,bmi
Genotype_HC Genotype_ x time235,-0.0384234628329616,0.346608625555587,0.912469288045544,,,Interaction,-0.717776368921913,0.64092944325599,HMDB0002259,"0 (-0.7, 0.6)",0.912,0.912,,Margaric acid,bmi
Genotype_(joint),,,,7.69719116947444,0.0215986009862541,Main,,,HMDB0002259,"NA (NA, NA)",,,0.022*,Margaric acid,bmi
Genotype_ x time(joint),,,,5.37015253667502,0.0101497744024796,Interaction,,,HMDB0002259,"NA (NA, NA)",,,0.01*,Margaric acid,bmi
Genotype_HC Genotype_,-0.934835130678312,0.297800491247077,0.00317948853445495,,,Main,-1.51852409352258,-0.351146167834041,HMDB0002259,"-0.9 (-1.5, -0.4)",3.2e-03,3.2e-03**,,Margaric acid,primary
Genotype_HC Genotype_ x time120,0.963960733280044,0.346025945240261,0.00812296353896888,,,Interaction,0.285749880609132,1.64217158595096,HMDB0002259,"1 (0.3, 1.6)",8.1e-03,8.1e-03**,,Margaric acid,primary
Genotype_HC Genotype_ x time235,-0.0384234628329547,0.346025945240261,0.912138243095632,,,Interaction,-0.716634315503867,0.639787389837958,HMDB0002259,"0 (-0.7, 0.6)",0.912,0.912,,Margaric acid,primary
Genotype_(joint),,,,8.04284384164309,0.00713398897888128,Main,,,HMDB0002259,"NA (NA, NA)",,,7.1e-03**,Margaric acid,primary
Genotype_ x time(joint),,,,5.38825358822861,0.00847116930804365,Interaction,,,HMDB0002259,"NA (NA, NA)",,,8.5e-03**,Margaric acid,primary
Genotype_HC Genotype_,2.75407907389644,1.44336936822467,0.0882160724044003,,,Main,-0.0749248878239146,5.58308303561679,HMDB0002392,"2.8 (-0.1, 5.6)",0.088,0.088,,Maslinic acid,bmi
Genotype_HC Genotype_ x time120,-0.313997335942037,0.223101028910165,0.169579534737655,,,Interaction,-0.75127535260596,0.123280680721886,HMDB0002392,"-0.3 (-0.8, 0.1)",0.17,0.17,,Maslinic acid,bmi
Genotype_HC Genotype_ x time235,-0.296011362140969,0.223101028910165,0.194584713988527,,,Interaction,-0.733289378804892,0.141266654522953,HMDB0002392,"-0.3 (-0.7, 0.1)",0.195,0.195,,Maslinic acid,bmi
Genotype_(joint),,,,3.14811743051018,0.10976050688004,Main,,,HMDB0002392,"NA (NA, NA)",,,0.11,Maslinic acid,bmi
Genotype_ x time(joint),,,,1.24924853522387,0.30121019389179,Interaction,,,HMDB0002392,"NA (NA, NA)",,,0.301,Maslinic acid,bmi
Genotype_HC Genotype_,2.76722018332942,1.41510112621692,0.0785489150045949,,,Main,-0.00637802405575005,5.54081839071459,HMDB0002392,"2.8 (0, 5.5)",0.079,0.079,,Maslinic acid,primary
Genotype_HC Genotype_ x time120,-0.313997335941992,0.223100993580131,0.169579467650411,,,Interaction,-0.751275283359049,0.123280611475066,HMDB0002392,"-0.3 (-0.8, 0.1)",0.17,0.17,,Maslinic acid,primary
Genotype_HC Genotype_ x time235,-0.296011362140933,0.223100993580131,0.194584643710263,,,Interaction,-0.733289309557991,0.141266585276124,HMDB0002392,"-0.3 (-0.7, 0.1)",0.195,0.195,,Maslinic acid,primary
Genotype_(joint),,,,3.31005353957772,0.0988810076158276,Main,,,HMDB0002392,"NA (NA, NA)",,,0.099,Maslinic acid,primary
Genotype_ x time(joint),,,,1.24924893088287,0.301210081629798,Interaction,,,HMDB0002392,"NA (NA, NA)",,,0.301,Maslinic acid,primary
Genotype_HC Genotype_,0.240478251898973,0.179089763532133,0.20323033105732,,,Main,-0.110537684624008,0.591494188421955,HMDB0001898,"0.2 (-0.1, 0.6)",0.203,0.203,,Mesobilirubinogen,bmi
Genotype_HC Genotype_ x time120,0.0572851116068568,0.122338836644219,0.642990454283167,,,Interaction,-0.182499008215813,0.297069231429527,HMDB0001898,"0.1 (-0.2, 0.3)",0.643,0.643,,Mesobilirubinogen,bmi
Genotype_HC Genotype_ x time235,0.0628800908634569,0.122338836644219,0.61102927118121,,,Interaction,-0.176904028959213,0.302664210686127,HMDB0001898,"0.1 (-0.2, 0.3)",0.611,0.611,,Mesobilirubinogen,bmi
Genotype_(joint),,,,2.90571266713827,0.122460602968699,Main,,,HMDB0001898,"NA (NA, NA)",,,0.122,Mesobilirubinogen,bmi
Genotype_ x time(joint),,,,0.161842612204033,0.851312722847174,Interaction,,,HMDB0001898,"NA (NA, NA)",,,0.851,Mesobilirubinogen,bmi
Genotype_HC Genotype_,0.2406588186298,0.171421111574014,0.181678487916793,,,Main,-0.0953265600552676,0.576644197314867,HMDB0001898,"0.2 (-0.1, 0.6)",0.182,0.182,,Mesobilirubinogen,primary
Genotype_HC Genotype_ x time120,0.0572851116068743,0.122338836275528,0.642990453271955,,,Interaction,-0.18249900749316,0.297069230706908,HMDB0001898,"0.1 (-0.2, 0.3)",0.643,0.643,,Mesobilirubinogen,primary
Genotype_HC Genotype_ x time235,0.0628800908634772,0.122338836275528,0.611029270096112,,,Interaction,-0.176904028236557,0.302664209963511,HMDB0001898,"0.1 (-0.2, 0.3)",0.611,0.611,,Mesobilirubinogen,primary
Genotype_(joint),,,,3.23001395851895,0.102514672910566,Main,,,HMDB0001898,"NA (NA, NA)",,,0.103,Mesobilirubinogen,primary
Genotype_ x time(joint),,,,0.161842613179624,0.851312722022517,Interaction,,,HMDB0001898,"NA (NA, NA)",,,0.851,Mesobilirubinogen,primary
Genotype_HC Genotype_,-1.54560642237813,0.88717371668088,0.103452993842795,,,Main,-3.28446690707266,0.193254062316392,HMDB0000696,"-1.5 (-3.3, 0.2)",0.103,0.103,,Methionine,bmi
Genotype_HC Genotype_ x time120,0.131349369296478,0.695765579275812,0.851533493516299,,,Interaction,-1.23235116608411,1.49504990467707,HMDB0000696,"0.1 (-1.2, 1.5)",0.852,0.852,,Methionine,bmi
Genotype_HC Genotype_ x time235,-0.179517086364774,0.695765579275812,0.798158103314205,,,Interaction,-1.54321762174537,1.18418344901582,HMDB0000696,"-0.2 (-1.5, 1.2)",0.798,0.798,,Methionine,bmi
Genotype_(joint),,,,3.89761039638323,0.0797963823651322,Main,,,HMDB0000696,"NA (NA, NA)",,,0.08,Methionine,bmi
Genotype_ x time(joint),,,,0.100612883589841,0.904586855104441,Interaction,,,HMDB0000696,"NA (NA, NA)",,,0.905,Methionine,bmi
Genotype_HC Genotype_,-1.54283690807124,0.854418136790084,0.0897526242295734,,,Main,-3.21749645617981,0.131822640037322,HMDB0000696,"-1.5 (-3.2, 0.1)",0.09,0.09,,Methionine,primary
Genotype_HC Genotype_ x time120,0.131349369296488,0.695765621035766,0.851533502429284,,,Interaction,-1.23235124793361,1.49504998652659,HMDB0000696,"0.1 (-1.2, 1.5)",0.852,0.852,,Methionine,primary
Genotype_HC Genotype_ x time235,-0.17951708636476,0.695765621035766,0.798158115307395,,,Interaction,-1.54321770359486,1.18418353086534,HMDB0000696,"-0.2 (-1.5, 1.2)",0.798,0.798,,Methionine,primary
Genotype_(joint),,,,4.2734085717268,0.0655884936702042,Main,,,HMDB0000696,"NA (NA, NA)",,,0.066,Methionine,primary
Genotype_ x time(joint),,,,0.100612871512237,0.904586865983372,Interaction,,,HMDB0000696,"NA (NA, NA)",,,0.905,Methionine,primary
Genotype_HC Genotype_,0.237737107684102,0.362828695627037,0.516164677023845,,,Main,-0.47340713574489,0.948881351113094,HMDB0002820,"0.2 (-0.5, 0.9)",0.516,0.516,,Methylimidazoleacetic acid,bmi
Genotype_HC Genotype_ x time120,0.0274894273814959,0.42156886657502,0.948341947388006,,,Interaction,-0.798785551105544,0.853764405868535,HMDB0002820,"0 (-0.8, 0.9)",0.948,0.948,,Methylimidazoleacetic acid,bmi
Genotype_HC Genotype_ x time235,0.142345369434026,0.42156886657502,0.737432977303969,,,Interaction,-0.683929609053013,0.968620347921065,HMDB0002820,"0.1 (-0.7, 1)",0.737,0.737,,Methylimidazoleacetic acid,bmi
Genotype_(joint),,,,1.1966257182822,0.280707705845241,Main,,,HMDB0002820,"NA (NA, NA)",,,0.281,Methylimidazoleacetic acid,bmi
Genotype_ x time(joint),,,,0.0641640421462633,0.937949932354049,Interaction,,,HMDB0002820,"NA (NA, NA)",,,0.938,Methylimidazoleacetic acid,bmi
Genotype_HC Genotype_,0.230174351218815,0.405679966644546,0.576132819185281,,,Main,-0.564958383404495,1.02530708584213,HMDB0002820,"0.2 (-0.6, 1)",0.576,0.576,,Methylimidazoleacetic acid,primary
Genotype_HC Genotype_ x time120,0.0274894273815093,0.423686761974029,0.948698784516364,,,Interaction,-0.802936626087588,0.857915480850607,HMDB0002820,"0 (-0.8, 0.9)",0.949,0.949,,Methylimidazoleacetic acid,primary
Genotype_HC Genotype_ x time235,0.142345369434041,0.423686761974029,0.739233211740426,,,Interaction,-0.688080684035056,0.972771422903138,HMDB0002820,"0.1 (-0.7, 1)",0.739,0.739,,Methylimidazoleacetic acid,primary
Genotype_(joint),,,,0.785245754030044,0.396351228451591,Main,,,HMDB0002820,"NA (NA, NA)",,,0.396,Methylimidazoleacetic acid,primary
Genotype_ x time(joint),,,,0.0635241680868036,0.938577323358304,Interaction,,,HMDB0002820,"NA (NA, NA)",,,0.939,Methylimidazoleacetic acid,primary
Genotype_HC Genotype_,-0.631770919107043,0.177587422043434,0.00485537512475987,,,Main,-0.979842266312173,-0.283699571901912,HMDB0000202,"-0.6 (-1, -0.3)",4.9e-03,4.9e-03**,,Methylmalonic acid,bmi
Genotype_HC Genotype_ x time120,0.0985923037963155,0.0831565425342839,0.245077600410318,,,Interaction,-0.0643945195708809,0.261579127163512,HMDB0000202,"0.1 (-0.1, 0.3)",0.245,0.245,,Methylmalonic acid,bmi
Genotype_HC Genotype_ x time235,0.128783396780994,0.0831565425342839,0.131943104520546,,,Interaction,-0.0342034265862023,0.291770220148191,HMDB0000202,"0.1 (0, 0.3)",0.132,0.132,,Methylmalonic acid,bmi
Genotype_(joint),,,,10.5743576383142,0.00996824427019673,Main,,,HMDB0000202,"NA (NA, NA)",,,1.0e-02**,Methylmalonic acid,bmi
Genotype_ x time(joint),,,,1.31198197935466,0.284294128714387,Interaction,,,HMDB0000202,"NA (NA, NA)",,,0.284,Methylmalonic acid,bmi
Genotype_HC Genotype_,-0.628028402182019,0.197078419582144,0.0083991100763536,,,Main,-1.01430210456302,-0.241754699801018,HMDB0000202,"-0.6 (-1, -0.2)",8.4e-03,8.4e-03**,,Methylmalonic acid,primary
Genotype_HC Genotype_ x time120,0.0985923037962995,0.083156539875127,0.245077585342722,,,Interaction,-0.0643945143589494,0.261579121951548,HMDB0000202,"0.1 (-0.1, 0.3)",0.245,0.245,,Methylmalonic acid,primary
Genotype_HC Genotype_ x time235,0.128783396780974,0.083156539875127,0.131943092268223,,,Interaction,-0.0342034213742749,0.291770214936223,HMDB0000202,"0.1 (0, 0.3)",0.132,0.132,,Methylmalonic acid,primary
